Fakultas,Jurusan,Kelas,Asal kampus,Apa minat kamu?
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Minat saya lebih condong ke backend ataupun frontend programming namun saya akan selalu siap untuk mempelajari bidang lain seperti cyber securitiy yang termasuk minat saya yang paling keras,dan seiring berjalannya waktu juga ingin mempelajari tentang ui/ux"
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Programming
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Mobile programming, backend programming"
Fakultas Teknologi Industri,Teknik Elektro,3IB##,Universitas Gunadarma,Pengen bikin jarvis.
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Saya sangat berminat dalam bidang Front-End Developer dan UI/UX Design.
Fakultas Psikologi,Psikologi,2PA##,Universitas Gunadarma,"UI/UX, data analyst, cyber security, dan programming lainnya"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Software Engineering dan Web Development
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Saya minat dalam programming karena menurut saya itu sangat dibutuhkan disegala aspek
Fakultas Teknologi Industri,Teknik  Informatika,-,Universitas Gunadarma,Saya tertarik pada Web Development khususnya pada front end web development
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,"Backend programming, Machine Learning, UI/UX"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,"Networking, backend programming, web development"
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Full stack developer
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,Saya berminat mempelajari ilmu tentang frontend progamming
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,front-end programming
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Cyber Security
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,"Saya memiliki ketertarikan dalan web development, data science, dan software engineer
Tetapi karena fokus kepada banyak hal itu tidak bagus, saat ini saya fokus belajar tentang web development"
Fakultas Teknologi Industri,Teknik  Informatika,3IA##,Universitas Gunadarma,Minat saya di bidang IT ingin menjadi backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,"Untuk saat ini Alya masih belum paham tentang bidang IT, Alya ingin mempelajari ilmu dasarnya dulu. Semoga kedepannya Alya bisa tahu secara spesifik apa yang sebetulnya Alya minatin"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Komputer,3KB##,Universitas Gunadarma,"jaringan , hardware untuk pc"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3ka##,Universitas Gunadarma,programming
